timestamp_utc,action,original_path,archive_path,sha256_before,reason,sha256_after
2026-09-14T13:54:29Z,created,src/research/qualify_matrix.py,,,"new shared module: research.qualify_matrix (csv_map, winning_control) — Phase 2 target for the QUALIFY-family scope-loop dedup",15a7ea0d55ffe8aa7f635768dfec1b3dc887f57331f69fc2c83e2bbe7fc927e6
2026-09-14T13:56:43Z,copied_before_edit,scripts/research/qualify_carry.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_carry.py,6fa21f56dd75f9dcd6f85a5c6c21c087be3bcd47677d5fcd3fbb17e5faa6feab,"pre-edit snapshot: Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",
2026-09-14T13:56:43Z,copied_before_edit,scripts/research/qualify_cross_sectional.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_cross_sectional.py,e8327b5342829474a1f21f1daaaad2be7dd72a19e6d0e556eeb1819bb4956809,"pre-edit snapshot: Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",
2026-09-14T13:56:43Z,copied_before_edit,scripts/research/qualify_harvest.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_harvest.py,77a80847e30fd5bfe9cb523dcd7efbd4034ad720413da8bdd67eaf3ee30cfc1e,"pre-edit snapshot: Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",
2026-09-14T13:56:43Z,copied_before_edit,scripts/research/qualify_regime_conditioning.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_regime_conditioning.py,1c9b9805b17a8a7ed14d2cef44ec12541dc44267cfa56f8ed2faa56fe1a22916,"pre-edit snapshot: Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",
2026-09-14T13:56:43Z,copied_before_edit,scripts/research/qualify_regime_transition.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_regime_transition.py,297bae461eb86456cf34ccc092f4dd5fafe2febbe34ef0294053e66a9c25430f,"pre-edit snapshot: Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",
2026-09-14T13:56:43Z,edited_in_place,scripts/research/qualify_carry.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_carry.py,6fa21f56dd75f9dcd6f85a5c6c21c087be3bcd47677d5fcd3fbb17e5faa6feab,"Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",03c331ab450d3a26d48cb652268194fdd3d98551a9b794b12185adac1666035e
2026-09-14T13:56:43Z,edited_in_place,scripts/research/qualify_cross_sectional.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_cross_sectional.py,e8327b5342829474a1f21f1daaaad2be7dd72a19e6d0e556eeb1819bb4956809,"Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",79b1c32f719ec433a0b2cc9704aa2f6a9050c770316d53becc8eb82e781dce69
2026-09-14T13:56:43Z,edited_in_place,scripts/research/qualify_harvest.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_harvest.py,77a80847e30fd5bfe9cb523dcd7efbd4034ad720413da8bdd67eaf3ee30cfc1e,"Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",16f4176f8e58733ffe840e864ea4593041376f7b94479fc92df29e416dc848f1
2026-09-14T13:56:43Z,edited_in_place,scripts/research/qualify_regime_conditioning.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_regime_conditioning.py,1c9b9805b17a8a7ed14d2cef44ec12541dc44267cfa56f8ed2faa56fe1a22916,"Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",bff90f5f7deffd7de40e7a4adb994bce5b49ff7bb671841d90229d09ae3dbfc2
2026-09-14T13:56:43Z,edited_in_place,scripts/research/qualify_regime_transition.py,archive/research_framework_phase2a_qualify_matrix_2026-09-14/scripts/research/qualify_regime_transition.py,297bae461eb86456cf34ccc092f4dd5fafe2febbe34ef0294053e66a9c25430f,"Phase 2a dedup: private _csv_map (variants b83c62316c/08e71a58eb, behaviorally identical: {instrument: csv_path} filtered from cfg.data_dir/cfg.pattern) replaced by same-named import of research.qualify_matrix.csv_map; call sites unchanged",87e688fab8ddf2176a10d9338ce99e282429b089bda0161f70451117dc7a76e8
